label,h,s,v
red,23.91,62.03,45.18
red,23.12,64.19,47.99
red,24.42,60.79,49.80
red,42.22,44.57,54.08
red,5.49,105.83,63.87
red,178.90,97.11,138.90
red,19.04,36.93,28.08
red,0.41,154.49,88.35
red,20.59,73.34,37.86
red,6.96,70.94,63.07
red,4.61,75.68,59.73
red,0.08,172.30,82.54
red,178.57,152.81,111.37
red,6.97,144.82,44.79
red,3.43,156.53,105.82
red,21.35,57.20,78.35
red,3.46,159.12,106.10
red,6.84,119.96,97.24
red,3.42,102.43,83.08
red,16.62,51.35,75.57
red,178.79,178.40,112.35
red,0.36,132.02,105.77
red,3.71,130.60,60.77
red,154.70,30.83,110.45
red,171.16,87.33,111.62
red,177.94,167.17,122.70
red,178.81,213.19,113.54
red,171.20,66.71,111.73
red,167.45,67.55,107.18
red,178.57,133.30,109.65
red,178.31,209.91,115.93
red,178.31,191.15,105.06
red,177.89,53.58,101.16
red,178.33,139.35,101.40
red,178.92,122.20,70.91
red,6.19,56.99,51.45
red,13.58,61.29,45.47
red,178.17,195.99,27.91
red,178.05,202.79,77.67
red,3.55,33.38,82.39
red,3.19,76.52,110.75
red,13.96,75.97,53.71
red,13.13,32.20,94.86
red,178.62,180.99,130.31
red,178.13,205.74,29.75
red,177.87,205.59,34.27
red,1.22,51.29,53.16
red,1.09,157.97,13.54
red,161.00,77.50,79.70
red,178.30,199.45,108.46
red,178.53,121.41,86.38
red,0.36,122.41,74.32
red,3.06,112.38,56.44
red,173.68,67.20,76.20
red,178.37,134.26,98.20
red,5.84,62.64,57.01
red,2.79,126.99,52.56
red,4.22,126.31,74.53
red,4.27,119.45,76.90
red,5.62,84.72,54.31
red,16.53,87.66,70.46
red,1.95,142.89,110.92
red,178.56,209.92,131.84
red,0.22,195.14,120.27
red,2.05,132.02,81.45
red,178.75,217.20,150.22
red,178.92,154.63,148.97
red,0.17,151.25,157.53
red,178.19,82.77,168.00
red,175.30,145.40,91.81
red,176.66,64.91,63.08
red,1.09,79.97,57.63
red,4.42,68.60,51.93
red,178.32,176.13,115.57
red,178.47,172.94,101.27
red,178.94,204.95,140.01
red,2.12,164.08,100.31
red,3.12,151.74,91.95
red,177.83,142.82,111.09
red,4.90,40.04,77.28
red,178.59,196.16,111.99
red,137.59,22.95,83.50
red,176.50,87.86,102.76
red,178.89,176.28,145.74
red,6.33,21.57,80.22
red,174.06,83.10,97.81
red,177.59,95.65,129.28
red,0.27,89.37,114.05
red,178.56,170.56,54.17
red,178.80,168.10,130.72
red,0.14,182.21,150.77
red,54.21,38.58,75.86
red,12.35,47.49,74.56
red,1.01,101.32,75.47
red,3.32,136.21,73.73
red,178.02,208.33,111.21
red,3.30,82.69,61.03
red,0.58,124.28,69.42
red,7.50,89.02,72.60
red,12.69,82.75,71.17
red,2.40,111.57,57.36
red,178.03,211.44,120.53
red,57.14,22.17,24.13
red,56.68,25.14,26.11
red,105.90,8.25,109.54
red,104.98,7.60,121.90
red,66.92,3.62,68.29
red,104.81,56.54,54.14
red,5.93,103.76,63.34
red,5.93,103.76,63.34
red,5.93,103.76,63.34
red,5.93,103.76,63.34
red,5.93,103.76,63.34
red,5.93,103.76,63.34
red,53.77,41.78,69.74
red,53.81,42.49,68.76
red,53.87,43.39,67.00
red,53.90,43.48,67.00
red,53.85,43.01,67.85
red,53.88,42.89,67.83
red,53.94,42.83,67.82
red,53.95,42.83,67.82
red,53.94,42.83,67.82
red,53.95,42.83,67.82
